Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00463+353,HAT 163-01012,00:46:21.84,+35:22:12.3,DR3,-60.1759933892134,-105.368984383182,DR3,34.497052810132,DR3,-28.861,DR3,12.8561,DR3,10.4235,UCAC4,364017827164495232
J00464+506,G 172-022,00:46:29.96,+50:38:38.7,DR3,419.174777969323,-213.833406605895,DR3,30.9457897431824,DR3,-15.144,DR3,14.5564,DR3,11.7066,UCAC4,415180370951921536
J00468+160,2MASS J00465328+1603028,00:46:53.29,+16:03:02.7,DR3,-117.678142254104,-52.5790775183562,DR3,49.706065453527,DR3,-6.282,DR3,12.105,DR3,9.8042,UCAC4,2781242085825625088
J00484+753,LSPM J0048+7518,00:48:29.74,+75:18:48.1,DR3,219.715339367283,-54.3522639555702,DR3,30.7154273384977,DR3,6.03,DR3,13.4712,DR3,10.9845,UCAC4,539080041316941696
J00487+270,G 69-24,00:48:45.53,+27:01:09.1,DR3,-155.933900128197,-288.836853789877,DR3,45.1254954245434,DR3,-21.243,DR3,12.6116,DR3,10.2578,UCAC4,2808854877248978304
J00489+445,LP 193-564 A,00:48:58.28,+44:35:09.1,DR3,119.658970853756,-137.12968065182,DR3,29.5574225766615,DR3,-10.634,DR3,13.3904,DR3,10.7682,UCAC4,376035832854005248
J00490+657,2MASS J00490477+6544377,00:49:04.78,+65:44:37.7,DR3,117.302249395825,-61.5346932266644,DR3,30.4443115072498,DR3,-20.787,DR3,13.1341,DR3,10.7629,UCAC4,524634348319029888
J00502+086,RX J0050.2+0837 2,00:50:17.52,+08:37:34.2,DR3,66.9626446128262,-35.1300131924486,DR3,16.311295604076,DR3,5.298,DR3,14.5878,DR3,11.5867,UCAC4,2581708281894978176
J00505+248,V* FT Psc A,00:50:33.25,+24:49:00.2,DR3,203.428395006873,-31.3363384172511,DR3,66.7255813106135,DR3,7.13,DR3,12.4422,DR3,9.6612,UCAC4,2805045756653326080
J00511+225,BPM 84579,00:51:10.67,+22:34:45.6,DR3,40.5794453733734,-113.540617583661,DR3,37.574187839975,DR3,30.593,DR3,11.8639,DR3,9.6608,UCAC4,2802278114087645440
J00514+583,Wolf 33,00:51:29.84,+58:18:07.3,DR3,1566.9552096327,405.320906823056,DR3,52.6723109779387,DR3,-15.183,DR3,10.8802,DR3,9.0196,PS1,424422281584852352
J00515-229,HD 4967 B,00:51:35.19,-22:54:30.9,DR3,619.895149351882,-280.890895905319,DR3,65.0732634870433,DR3,30.0,Haw96,16.6877,DR3,12.9888,PS1,2349206343359507584
J00520+205,StKM 2-77,00:52:00.06,+20:34:58.3,DR3,180.637165641251,-109.794431036203,DR3,31.8191432245448,DR3,-0.193,DR3,11.736,DR3,9.7462,UCAC4,2789773986820056064
J00532+190,LSPM J0053+1903,00:53:12.96,+19:03:26.9,DR3,-110.150731350976,-118.39429596191,DR3,44.6592735706538,DR3,-4.991,DR3,12.6475,DR3,10.2419,UCAC4,2789002576334151808
J00538+459,G 172-028,00:53:53.25,+45:56:40.5,DR3,305.506951965891,69.6301770037635,DR3,34.5643533205104,DR3,-36.77,DR3,11.3332,DR3,9.4749,UCAC4,378026395579692672
J00540+691,Ross 317,00:54:00.50,+69:11:01.1,DR3,72.2560720823438,-264.286303321621,DR3,34.2731221244348,DR3,-0.582,DR3,13.2602,DR3,10.9015,UCAC4,526914735434842112
J00548+275,G 69-32,00:54:48.08,+27:31:03.6,DR3,341.46336085268,14.7245280639395,DR3,36.4648247898246,DR3,7.338,DR3,15.2147,DR3,12.1849,UCAC4,2808766710160351872
J00566+174,GJ 1024,00:56:38.37,+17:27:35.0,DR3,683.339539432706,-291.753805298412,DR3,54.8456055780177,DR3,-26.22,DR3,13.9858,DR3,11.0916,UCAC4,2787758616366123136
J00570+450,G 172-030,00:57:02.69,+45:05:09.8,DR3,625.837366503318,-68.0252990920644,DR3,76.1100999240523,DR3,6.476,DR3,12.2138,DR3,9.637,UCAC4,377423450888562304
J00577+058,BD+05 127,00:57:44.55,+05:51:20.6,DR3,-55.5184352523008,1.40342801812614,DR3,56.1484887918297,DR3,-15.967,DR3,10.4789,DR3,8.6203,UCAC4,2553195883802687104
J00580+393,1RXS J005802.4+391912,00:58:01.16,+39:19:11.1,DR3,-107.045684227781,24.9962868986552,DR3,68.3892623064718,DR3,-1.206,DR3,14.4376,DR3,11.3721,UCAC4,373838214051410816
J01008+669,LP 051-017,01:00:49.47,+66:56:54.7,DR3,-236.234712746202,-54.6681416009116,DR3,44.3172851875189,DR3,-14.028,DR3,13.6443,DR3,10.9546,UCAC4,526058696910777984
J01009-044,GJ 1025,01:00:56.37,-04:26:56.6,DR3,1249.13799311582,438.73512520857,DR3,80.7877814119446,DR3,29.301,DR3,13.556,DR3,10.7402,UCAC4,2525276565243086080
J01013+613,GJ 47,01:01:20.05,+61:21:56.7,DR3,362.491517224456,-811.622004463048,DR3,94.9701337845986,DR3,6.999,DR3,11.081,DR3,8.7434,PS1,426641955043723520
J01019+541,G 218-020,01:01:59.49,+54:10:57.7,DR3,-304.13454039362,-116.382790609493,DR3,90.0129149783479,DR3,-7.189,DR3,15.2896,DR3,11.807,APASS9,411311395692644224
J01023-104,BD-11 192,01:02:21.13,-10:25:25.9,DR3,26.0879372562117,-176.919855701141,DR3,47.3825056619637,DR3,8.842,DR3,10.2252,DR3,8.4857,,2473055951588089088
